year,mean_airea_completions,pct_airea_completions
2010,154.35140997830808,0.14923548170263015
2011,177.20607375271155,0.15482349908840398
2012,185.34561213434446,0.15006609701304655
2013,192.1200000000001,0.15018469799701345
2014,211.0873786407768,0.1581442110852402
2015,224.83081896551727,0.16093483405376557
2016,234.8666666666666,0.1638959984572799
2017,240.44671689989238,0.1642565895662597
2018,250.3902702702703,0.16383644862457494
2019,260.12864864864855,0.16240834035292331
2020,144.3562091503268,0.12087278617887888
2021,138.72984749455344,0.11588097255067532
2022,140.83260393873087,0.11984838440567881
2023,141.1237569060774,0.12468381678897462
